Row Index,Title,Artist,Album,Source Context,Duration,Date,Popularity,Favorited,Has Lyrics,Artist Link,Album Link,Cover URL
1,To Love You feat. Rachel Row (Vocal),KiNK,Piano Power,House Afternoon,03:50,26/07/2021,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/178245,https://www.deezer.com/en/album/97932792,https://cdn-images.dzcdn.net/images/cover/e738229bf799f314396e6175e9ebb50a/40x40-000000-80-0-0.jpg
2,Sorry,Joel Corry,Sorry,House Afternoon,03:08,26/07/2021,By popularity: 5 / 10,false,false,https://www.deezer.com/en/artist/8058039,https://www.deezer.com/en/album/101864472,https://cdn-images.dzcdn.net/images/cover/e1838cf0317d34dc9ef0c5c4d9cf3ea6/40x40-000000-80-0-0.jpg
3,I'm Hot (Original Mix),Franky Rizardo,I'm Hot,House Afternoon,05:52,26/07/2021,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/364146,https://www.deezer.com/en/album/120236692,https://cdn-images.dzcdn.net/images/cover/4287e3da0a657fd78e9965388de6513b/40x40-000000-80-0-0.jpg
4,Oye Como Va (K&F Edit),Joe Cuba Sextet & Jose Cheo Feliciano,Random,House Afternoon,05:32,26/07/2021,By popularity: 0 / 10,false,false,,,https://cdn-images.dzcdn.net/images/cover/d41d8cd98f00b204e9800998ecf8427e/40x40-000000-80-0-0.jpg
5,Brasil,Bellaire,Random,House Afternoon,05:37,26/07/2021,By popularity: 0 / 10,false,false,,,https://cdn-images.dzcdn.net/images/cover/d41d8cd98f00b204e9800998ecf8427e/40x40-000000-80-0-0.jpg
6,Bang (Honey Dijon Remix),Harry Romero & Erick Morillo,Random,House Afternoon,06:08,26/07/2021,By popularity: 0 / 10,false,false,,,https://cdn-images.dzcdn.net/images/cover/d41d8cd98f00b204e9800998ecf8427e/40x40-000000-80-0-0.jpg
7,Light It Up,Major Lazer,Major Lazer Essentials,House Afternoon,02:46,26/07/2021,By popularity: 8 / 10,false,false,https://www.deezer.com/en/artist/282118,https://www.deezer.com/en/album/75816422,https://cdn-images.dzcdn.net/images/cover/fd04cc1cae7d8b60fd07035aedd4aedf/40x40-000000-80-0-0.jpg
8,By Your Side (feat. Tom Grennan),Calvin Harris,By Your Side (feat. Tom Grennan),House Afternoon,03:09,21/08/2021,By popularity: 7 / 10,false,true,https://www.deezer.com/en/artist/12178,https://www.deezer.com/en/album/230046522,https://cdn-images.dzcdn.net/images/cover/d08682d2776f47c69ffb65dfb1edb82d/40x40-000000-80-0-0.jpg
9,Friday (feat. Mufasa & Hypeman) (Dopamine Re-Edit),Nightcrawlers,Friday (feat. Mufasa & Hypeman) (Dopamine Re-Edit),House Afternoon,02:49,21/08/2021,By popularity: 9 / 10,false,true,https://www.deezer.com/en/artist/1016,https://www.deezer.com/en/album/193464972,https://cdn-images.dzcdn.net/images/cover/09e6c71f102c979723ea3ea1b3c185d8/40x40-000000-80-0-0.jpg
10,Ride It,Regard,Ride It,House Afternoon,02:37,21/08/2021,By popularity: 9 / 10,false,true,https://www.deezer.com/en/artist/8185084,https://www.deezer.com/en/album/102886652,https://cdn-images.dzcdn.net/images/cover/c7abf65b190c825054f29b55372619b3/40x40-000000-80-0-0.jpg
11,We Are The People (feat. Bono & The Edge) (Official UEFA EURO 2020 Song),Martin Garrix,We Are The People (feat. Bono & The Edge) (Official UEFA EURO 2020 Song),House Afternoon,03:37,21/08/2021,By popularity: 7 / 10,false,false,https://www.deezer.com/en/artist/3968561,https://www.deezer.com/en/album/223093662,https://cdn-images.dzcdn.net/images/cover/7595902881fb97252d0ed8d480a1173e/40x40-000000-80-0-0.jpg
12,One Kiss,Calvin Harris,One Kiss,House Afternoon,03:34,21/08/2021,By popularity: 9 / 10,false,false,https://www.deezer.com/en/artist/12178,https://www.deezer.com/en/album/60712222,https://cdn-images.dzcdn.net/images/cover/0397baea24f861db7ee63fb1c70391f9/40x40-000000-80-0-0.jpg
13,We Can Come Together,Love Regenerator,We Can Come Together,House Afternoon,03:36,21/08/2021,By popularity: 3 / 10,false,true,https://www.deezer.com/en/artist/83843482,https://www.deezer.com/en/album/248855312,https://cdn-images.dzcdn.net/images/cover/b139685e776dbce6c8d9f7ffdcc117e4/40x40-000000-80-0-0.jpg
14,HIT IT (feat. Saweetie & Lele Pons),The Black Eyed Peas,HIT IT (feat. Saweetie & Lele Pons),House Afternoon,03:55,21/08/2021,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/1020109,https://www.deezer.com/en/album/248919862,https://cdn-images.dzcdn.net/images/cover/1cbba699f5c021dd531dc50be86428a7/40x40-000000-80-0-0.jpg
15,The Business,Tiësto,The Business,House Afternoon,02:44,21/08/2021,By popularity: 8 / 10,false,false,https://www.deezer.com/en/artist/434,https://www.deezer.com/en/album/174941092,https://cdn-images.dzcdn.net/images/cover/664cd2e671f05f3f8f1e0bbd710e082d/40x40-000000-80-0-0.jpg
16,Heard About Me (feat. Nea),Dimitri Vegas & Like Mike,Heard About Me (feat. Nea),House Afternoon,02:14,21/08/2021,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/262271,https://www.deezer.com/en/album/235575722,https://cdn-images.dzcdn.net/images/cover/89b8c81300793a7db2344f7fd3342a53/40x40-000000-80-0-0.jpg
17,Call Me Papi (feat. Dawty Music),Feder,Call Me Papi (feat. Dawty Music),House Afternoon,02:20,21/08/2021,By popularity: 6 / 10,false,false,https://www.deezer.com/en/artist/5523632,https://www.deezer.com/en/album/235184402,https://cdn-images.dzcdn.net/images/cover/1cd3d136c11779a1a6d320683a6a2963/40x40-000000-80-0-0.jpg
18,GIRL LIKE ME,The Black Eyed Peas,TRANSLATION,House Afternoon,03:41,21/08/2021,By popularity: 8 / 10,false,true,https://www.deezer.com/en/artist/1020109,https://www.deezer.com/en/album/154364412,https://cdn-images.dzcdn.net/images/cover/5f69e64c44314ff6b1422829afe08503/40x40-000000-80-0-0.jpg
19,Joy,salute,Joy,House Afternoon,04:41,08/11/2021,By popularity: 4 / 10,true,false,https://www.deezer.com/en/artist/4046809,https://www.deezer.com/en/album/257368342,https://cdn-images.dzcdn.net/images/cover/64960550f13e4cf9fc8cce146aac08e7/40x40-000000-80-0-0.jpg
20,Bang (Harry & Erick Bang In Your Face Mix),Erick Morillo,Bang,House Afternoon,06:15,09/06/2022,By popularity: 2 / 10,true,false,https://www.deezer.com/en/artist/7190,https://www.deezer.com/en/album/6569985,https://cdn-images.dzcdn.net/images/cover/fce9c3c6e0e5b7b98f9c3477a0949234/40x40-000000-80-0-0.jpg
21,Nobody's Fool,ANOTR,Mighty Kingdom EP,House Afternoon,07:10,10/06/2022,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/8948922,https://www.deezer.com/en/album/687733911,https://cdn-images.dzcdn.net/images/cover/02b3f073150a52be4706a55bd2797bfa/40x40-000000-80-0-0.jpg
22,At Night (Shakedown's Galactic Boogie),Shakedown,At Night (Remixes),House Afternoon,06:59,12/06/2022,By popularity: 2 / 10,false,true,https://www.deezer.com/en/artist/6824,https://www.deezer.com/en/album/687624861,https://cdn-images.dzcdn.net/images/cover/8ba28d32fbb77184d6193f8dc7b0fa79/40x40-000000-80-0-0.jpg
23,Sometimes The Going Gets A Little Tough (Mella Dee Going Got A Bit Tougher Mix),Finn,Sometimes The Going Gets A Little Tough,House Afternoon,05:39,12/06/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/175257,https://www.deezer.com/en/album/687766891,https://cdn-images.dzcdn.net/images/cover/8be1a3ba0c94d01ada9502c96a18bf66/40x40-000000-80-0-0.jpg
24,Carioca,Sergio Fernández,Miami Sampler 2012,House Afternoon,06:21,12/06/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/94798,https://www.deezer.com/en/album/1668532,https://cdn-images.dzcdn.net/images/cover/659b61d9afa7fd3156f17a7407b6f1b0/40x40-000000-80-0-0.jpg
25,39 Times (Confrontation) (Edit),CHANEY,39 Times (Confrontation),House Afternoon,03:05,12/06/2022,By popularity: 3 / 10,false,false,https://www.deezer.com/en/artist/118126,https://www.deezer.com/en/album/90362892,https://cdn-images.dzcdn.net/images/cover/05a4244aa1a61a82c1f7a8d5e64e0c21/40x40-000000-80-0-0.jpg
26,Calling Out (Riva Starr Warehouse Remix),Sophie Lloyd,Defected presents House Masters - Riva Starr,House Afternoon,07:53,12/06/2022,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/310509471,https://www.deezer.com/en/album/687822121,https://cdn-images.dzcdn.net/images/cover/119d2aa97bed46a50330e577cd7d5c59/40x40-000000-80-0-0.jpg
27,Save Me (Qubiko Remix),Kevin McKay,Save Me (Qubiko Remix),House Afternoon,03:40,12/06/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/1361244,https://www.deezer.com/en/album/137903412,https://cdn-images.dzcdn.net/images/cover/a794a26b2a526aaa9b7fe82d9ef80247/40x40-000000-80-0-0.jpg
28,Jump N Shout (Erik Hagleton Radio Edit),Basement Jaxx,Jump N Shout,House Afternoon,03:28,03/07/2022,By popularity: 2 / 10,true,true,https://www.deezer.com/en/artist/795,https://www.deezer.com/en/album/14679742,https://cdn-images.dzcdn.net/images/cover/56778d9b14ca8766e6285f9d2e5c36c4/40x40-000000-80-0-0.jpg
29,Pop Your Pussy (2019 Rework Edit),Croatia Squad,Pop Your Pussy (2019 Rework),House Afternoon,02:55,03/07/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/1011353,https://www.deezer.com/en/album/95135362,https://cdn-images.dzcdn.net/images/cover/b6f8c13c11d1906e05442157abd68b8a/40x40-000000-80-0-0.jpg
30,Pepas,Farruko,Pepas,House Afternoon,04:47,03/07/2022,By popularity: 10 / 10,false,false,https://www.deezer.com/en/artist/614223,https://www.deezer.com/en/album/238972342,https://cdn-images.dzcdn.net/images/cover/1b88acc901e3beff139b5b4eea025802/40x40-000000-80-0-0.jpg
31,Ferrari,James Hype,Ferrari,House Afternoon,03:05,03/07/2022,By popularity: 8 / 10,false,true,https://www.deezer.com/en/artist/8205210,https://www.deezer.com/en/album/307700657,https://cdn-images.dzcdn.net/images/cover/d840cb39e0cd999d372bfee6addb07ec/40x40-000000-80-0-0.jpg
